steps
457
512
453
446
464
3286
2786
1246
1166
1212
1018
1168
1076
968
1022
4905
3272
1647
1423
1394
1432
1308
1271
1314
1351
1370
1294
1444
1294
1293
1393
1085
1114
1368
1182
1045
1127
4004
3654
1967
1687
1287
1314
1171
982
1039
1010
1045
1133
1165
974
976
1060
1014
1104
1093
1013
989
970
982
967
942
1439
5506
3768
2533
2466
2377
2119
2131
2221
2121
2067
2681
5333
3702
1877
1845
1774
1938
2247
2139
1773
1817
1705
1673
1895
1824
1931
1616
2010
1635
1678
1760
1626
2189
6438
3393
1990
1870
1501
1677
1937
1574
1464
1458
1314
1204
647
1187
1814
996
678
762
738
475
250
502
648
739
713
5826
4864
2446
1133
1397
646
506
360
310
212
673
5862
4818
2383
1382
1023
1039
1005
1488
1060
895
911
956
946
931
974
1041
929
886
958
736
505
683
3112
2432
1476
1133
971
933
844
844
1053
933
590
237
260
486
594
1392
875
777
797
946
936
955
966
617
872
857
6499
3202
1660
1461
883
670
693
430
332
321
788
6297
2893
1790
1355
1235
1258
1539
1876
1188
1146
1059
1229
1305
1446
1456
1422
1316
1284
1159
1012
792
567
3931
2042
1168
940
662
674
595
565
546
627
615
572
565
519
1184
556
717
687
757
803
514
578
878
631
459
4310
4523
2254
1199
1335
648
533
597
615
716
1060
4868
4864
2152
1196
665
792
667
736
1395
774
858
933
982
1021
1043
1102
1079
799
825
609
407
420
2895
3091
1588
1234
1036
840
724
688
522
322
314
336
245
633
1058
1642
816
727
769
820
616
514
605
730
724
815
5476
3277
1651
1036
1526
896
549
394
365
327
305
5057
2952
1690
1087
684
734
709
823
734
710
804
841
838
914
850
772
796
547
209
490
3634
2365
1349
966
836
768
643
631
662
654
847
692
588
539
1297
781
416
558
696
770
786
760
821
885
671
2664
5223
2521
1716
1488
813
880
695
826
449
291
2597
5934
2823
1327
632
455
504
697
1382
836
818
713
826
860
993
1145
1041
938
642
254
246
536
2315
2709
1549
1069
936
823
809
882
942
916
625
278
562
697
680
1578
888
723
471
359
397
319
410
750
872
992
4029
3181
1619
1021
1640
1050
666
383
367
357
782
3203
2678
1776
1130
1033
963
1187
1721
1350
1110
796
486
444
758
795
682
355
298
334
532
748
1075
4010
2347
1151
924
972
644
355
903
982
981
838
555
373
371
503
1464
618
549
496
486
531
549
519
409
445
798
4345
2233
1214
1334
722
527
451
302
245
208
355
4754
2184
1517
1053
584
308
319
1314
618
561
528
527
516
584
830
642
521
373
669
669
196
479
2965
1557
959
691
609
388
223
529
690
841
937
765
271
255
1445
685
577
554
528
540
481
520
647
582
604
3980
3286
1681
637
1402
698
488
403
370
402
350
3323
3354
1607
876
217
175
150
410
1334
351
350
302
228
172
133
566
309
226
176
160
115
96
2787
2901
1314
977
871
765
842
841
792
617
342
125
108
188
347
1301
778
699
699
668
292
233
749
520
227
95
5691
3168
1775
1867
2324
1226
