throttlePosition
16.0
16.0
16.0
16.0
29.0
17.0
17.0
17.0
17.0
17.0
15.0
15.0
15.0
16.0
16.0
16.0
16.0
16.0
16.0
16.0
15.0
16.0
15.0
16.0
16.0
16.0
15.0
16.0
16.0
16.0
16.0
16.0
23.0
16.0
15.0
16.0
15.0
18.0
16.0
15.0
17.0
19.0
18.0
16.0
17.0
15.0
15.0
16.0
19.0
19.0
20.0
21.0
21.0
26.0
15.0
21.0
23.0
14.0
15.0
15.0
15.0
15.0
16.0
16.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
24.0
24.0
22.0
14.0
21.0
21.0
26.0
14.0
21.0
28.0
29.0
27.0
14.0
27.0
26.0
26.0
26.0
26.0
26.0
25.0
25.0
24.0
25.0
21.0
21.0
20.0
22.0
24.0
23.0
21.0
21.0
21.0
18.0
16.0
17.0
20.0
21.0
20.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
14.0
13.0
13.0
14.0
13.0
13.0
21.0
20.0
16.0
18.0
17.0
13.0
13.0
14.0
15.0
25.0
24.0
28.0
29.0
29.0
14.0
20.0
16.0
14.0
