means
-62
36
-34
33
-10
-16
3
42
-21
12
-13
1
-2
39
-35
25
-24
2
43
-45
-14
7
2
0
-1
8
1
-6
-1
2
6
3
-14
15
-2
5
-48
80
-56
23
2
3
-98
109
-15
-29
68
-61
37
-12
-9
-4
26
-23
-26
41
-14
-3
-66
122
-75
19
-6
0
27
-13
-7
-5
30
-7
-24
-2
19
10
8
3
-3
-30
23
-24
17
-22
29
-18
-17
36
-15
13
43
-82
77
-23
-35
-13
2
29
-20
-7
19
-1
3
-1
-26
36
-18
58
-47
-26
34
14
18
-16
-12
-23
-2
-3
13
0
-11
15
0
13
-14
-3
0
-1
-2
-3
19
-13
-2
-6
5
-14
23
24
1
-34
-18
-5
10
6
17
-31
-33
85
-32
-7
-20
8
-9
3
35
-28
9
40
-18
12
-36
10
-9
2
0
-8
26
-12
-1
-10
2
-4
-35
4
94
-48
-46
110
17
-20
-56
46
-68
-20
47
52
-68
-31
85
-35
89
-118
-20
73
36
-63
40
-78
24
20
-22
14
-1
-5
-15
7
-2
-17
28
16
-6
-20
19
-7
-33
68
24
-59
46
-23
-5
-47
59
-78
17
30
-21
37
-20
-25
45
14
-28
-31
23
-27
35
28
-79
88
-17
-47
52
-24
18
-47
16
20
-30
8
116
-113
-41
81
-110
132
-80
11
-16
24
46
-36
1
0
-20
-5
46
-57
68
-47
8
0
-20
14
6
-2
-19
4
36
36
-65
36
18
-96
12
59
-47
18
0
-1
-6
-2
26
2
-9
-9
15
2
5
-32
30
-50
34
8
-13
-20
35
27
-15
-13
-28
-1
17
12
-27
24
6
-8
-7
7
39
-35
-5
40
-44
-3
-7
40
-36
17
23
-29
4
-8
25
-20
29
76
-119
8
22
-18
-7
13
1
0
-1
-24
-29
136
-80
-6
1
18
-34
33
101
-176
62
-9
39
-11
10
-10
-41
28
-55
45
-19
94
-98
28
-99
107
-48
2
50
-33
49
-53
2
41
10
6
-59
-13
48
-48
52
1
-32
49
28
-83
1
2
2
2
30
-18
15
-89
132
-84
27
111
-133
11
2
-3
60
-105
22
-92
4
89
-78
45
-31
45
-48
44
-45
-12
22
18
3
-60
108
-83
32
0
70
-43
18
-9
-24
-87
57
-2
-11
19
10
-26
18
78
-79
0
-22
26
20
-18
0
0
9
-19
-1
-9
-16
5
23
57
-68
28
-56
21
29
-8
-19
59
-40
-22
32
-15
11
-46
-20
39
77
-52
-39
74
-47
-14
116
-133
37
-6
7
-7
18
-1
-5
3
69
-76
-2
1
-5
18
-6
7
6
-27
16
-36
96
-84
-9
11
38
-15
-28
-3
-67
83
-17
-13
29
-2
-39
35
-20
50
-4
-5
39
-40
11
11
-19
-17
-8
16
16
45
34
-104
-57
88
-51
20
9
15
-41
24
33
-58
39
51
-58
-34
-8
-1
29
28
-34
48
-33
-44
77
-39
-52
61
-51
35
10
31
-20
7
-28
-30
0
60
-25
-31
18
16
-2
-9
23
-56
31
20
-38
22
15
-12
19
-13
-4
6
-3
