samples
904
1818
904
447
-1838
-1838
-467
447
447
-3209
-1838
-467
-1838
-1838
-924
-1381
-1838
-467
-2752
-924
-924
904
1361
-10
1818
-467
447
447
2732
4103
3646
1361
904
1361
-924
-2295
447
3189
2732
1818
-1838
-5037
-4123
-924
904
1361
2275
447
1818
2275
2275
3646
904
904
2275
2732
3189
447
-10
-924
-1381
-924
-2295
-1381
-2295
-10
-467
-924
447
-1381
-10
-924
904
4560
1818
-10
-924
-2752
-1381
-467
-467
447
-1838
-924
-3666
-5951
-1381
-10
904
1361
-2752
-2295
-1838
-2752
3646
5931
4103
3189
904
447
-10
-467
904
1361
447
447
447
904
447
-1381
904
447
904
447
1361
1361
1361
447
447
904
-467
-1381
-2752
-1381
-1838
-467
-3666
-5494
-2295
-2295
-467
-2295
-3209
-10
-10
-2295
2275
1361
904
904
-10
-10
-924
-924
-467
447
1361
2275
-2752
-5037
-2752
-467
3646
4103
1818
1361
-924
-1838
2732
1818
4103
2732
2732
2275
904
1361
904
1361
2732
2732
447
-1838
-1381
-10
904
1818
1818
904
-924
-1381
-10
3189
904
-1838
-10
447
1361
-10
447
-10
-1381
-1838
-467
904
1361
904
-10
-1381
-1381
-467
-924
-467
904
4103
2275
447
-1381
-5037
-2295
-10
1818
5017
2732
1818
-2752
-7322
-3209
447
1361
1818
2732
3646
904
-1838
-467
1361
1361
447
1361
904
-1381
-2295
-3666
-3666
-2752
-924
-924
-467
-2295
-5494
-2752
-1381
-10
-467
1361
1361
447
1361
-10
-467
447
1361
447
-10
447
-1381
-4106
-2058
-4618
-2570
502
1014
-1034
-522
-1546
-1546
3574
2038
5622
6134
2038
-10
-3082
-3594
-1546
502
1526
-10
1014
3062
-522
-3594
-10
1526
2550
3062
2038
1014
3062
4086
4086
2550
1526
502
-10
1014
-522
-1034
-522
-10
-2570
-4618
-2570
-10
502
1014
502
-10
502
502
-10
-1034
-1546
-1034
-1546
-1034
-10
-522
1014
-10
-2058
-4106
-4106
-2058
-10
3062
5110
4598
3574
502
-522
-1034
1014
4086
2550
1014
1014
1014
-522
-1546
-522
502
-522
1526
-2058
-5642
-1546
-522
-522
2038
-1546
-1546
-1034
-2058
-1546
-2570
-3082
-522
-1546
-522
-1034
-2058
-1546
-10
2038
2038
2550
1014
-2058
-2058
-1546
-1034
502
502
-10
-522
502
2550
-3082
-7690
-3082
2038
3574
4086
3574
1014
-3594
-3594
-6154
-6154
-10
3574
3574
1014
502
-522
1526
3574
4086
2550
1526
2038
-522
-522
1526
3062
3062
3062
-10
-522
-10
502
1526
-10
1014
1014
-522
-10
1526
4086
2038
-522
502
2038
1526
-10
-2058
-1546
-2058
-1546
-1546
-6154
-3082
502
-3594
502
-2570
-3594
1014
-10
3574
5622
3062
3574
-10
-1034
-1034
-522
-1034
-10
1526
3062
1014
-2570
-2058
-10
502
1526
2038
-10
1526
502
-10
2038
-4618
-3082
-3594
-2058
502
-522
-2058
-4618
-6666
-4618
-4618
-4106
502
2038
1014
-2058
-1034
-10
1526
3574
1014
-522
-2058
-1034
-10
-10
1014
-522
-3082
-3594
-4106
-1546
1014
502
3062
2038
502
-522
-1034
-522
2038
2550
1014
-522
-522
1526
1014
502
-3079
-7215
-1779
1845
-420
-4497
-1779
486
3204
5922
1392
-1326
-1326
-873
2298
3204
3204
486
486
-420
-873
33
-420
33
1392
939
2298
1845
486
486
-2232
-3591
-1779
-420
1845
1845
2751
4110
-2685
-5403
-3138
-873
1845
1392
1392
486
-420
939
-420
-2685
2751
3204
3204
939
-420
939
939
1392
2298
1845
486
486
-873
-873
-1326
-1326
33
939
33
-873
-1326
-2232
-1326
-420
-2232
-3138
-3138
-2232
486
2298
33
-2232
486
1392
3204
939
-1779
-420
-2685
-873
-2232
-5856
-873
1845
1392
939
-3138
-4950
-3591
-1326
2751
4563
3657
939
-420
33
-2232
-873
-2232
-2685
939
939
939
939
-873
-1779
939
1845
1845
2298
3204
939
2298
2751
1845
4110
2298
33
939
939
486
939
-2232
-1779
-873
-873
1392
33
-873
-873
486
3657
3657
2298
2751
939
33
486
33
33
486
1392
-420
-1326
-3138
-4497
-1779
1392
1845
486
1392
939
939
1845
1845
2298
33
-420
33
1392
1392
939
-420
33
1392
1845
-1326
-5403
-3138
486
486
1845
-420
-1779
-3138
-5856
-1779
1845
939
486
-3138
-5856
-4497
-2232
-1779
-3138
-1326
33
939
2298
2298
1392
1392
-1326
33
486
939
2298
939
1392
-1326
-873
-1779
-4497
-420
939
33
33
-4044
-3138
-3138
-3138
33
-1326
-873
33
939
939
2751
939
1392
486
486
2298
1392
1392
-420
-873
1392
3657
3204
33
486
486
486
939
939
1845
486
486
2298
3657
3204
-420
939
33
1787
3
1341
449
-1335
-2227
-2227
-1781
449
2233
2679
3
-2673
-2673
-2673
-443
2233
895
1341
2233
-443
-889
2679
1787
-443
-2673
-2227
3
-889
-1781
-1335
-2227
-889
-1781
-2227
3
449
3
3
-889
-1335
449
449
-443
2233
2679
3571
3571
1341
449
3
1341
1341
1341
1341
895
-2227
-6687
-2673
449
895
1787
895
3
-889
-1335
895
4017
4017
1341
1787
1787
-1335
-2673
-889
3
1787
2679
895
449
895
895
-1335
-4011
-1335
1787
1787
3
3125
5801
2679
-889
3
1341
1341
1341
1341
895
-443
895
-1781
-4903
-1781
895
895
1787
-2227
-4011
-3119
-443
2233
3125
-889
-4457
-3565
-2673
-1781
-1781
-1335
3
-1335
-2227
-1335
-2227
449
1787
2679
2679
449
-443
-889
3
1787
3571
2233
1341
1341
1341
895
3
-1781
-3119
-3119
449
-2227
-4903
-1781
-443
-1781
-2227
-1781
-1335
-443
-443
-443
895
-443
2233
-443
-2227
-889
3
449
1341
1341
1341
3
-1335
-889
-1335
-443
895
-1335
-1335
-889
895
2233
3125
2233
-443
3
2679
449
895
1341
-889
-3119
-3119
-3119
-1781
3
-443
-443
3
3
1341
1341
1341
3
-1335
3
1787
1341
1341
895
3125
895
-889
2233
3125
2233
3
449
449
449
2233
-889
-2673
449
3125
1787
1787
895
449
3
-889
-1335
-1335
-1781
-1781
-4457
-4903
-3565
-3565
-443
-443
-443
-889
3
-443
3
3
1341
4463
2233
1341
449
-1781
3
449
449
449
449
2233
3
-889
-4118
-7384
-3672
40
504
40
1432
1896
968
-424
-888
40
1896
3288
2824
504
968
2824
40
40
40
1432
504
40
-2744
-5992
-2744
504
-424
504
-424
-2280
40
504
1432
2824
2824
2360
2824
-424
1432
2824
-888
-2744
1432
2824
2824
1896
-424
40
-424
-888
-424
-424
40
968
1896
2824
1432
-888
-3672
-3208
-3208
-2744
-424
-2280
-3208
-1816
-4600
-5992
-2280
504
40
-424
504
2824
-888
-3208
1896
6536
4680
2360
504
-424
-424
-888
-2280
-1352
-1816
40
1432
1432
504
-1352
-424
40
-1352
-424
-424
-1352
-1352
-1352
-424
1896
1432
504
40
40
504
40
-3208
-5064
-3672
-888
40
968
1432
1432
40
-424
968
1896
1896
504
40
1432
40
-424
40
2824
2360
504
1432
2360
-888
-1352
-424
968
-2744
-2280
-4136
-3672
968
2824
-424
-4600
-2280
1432
40
40
968
1896
968
504
-2280
-5528
504
4680
3288
1432
1896
3288
1432
-424
1896
3288
1432
-424
-888
40
-1352
-1352
-424
1432
504
968
-1352
-2744
-2280
-2744
-1352
-1352
-888
-424
-1352
-1352
-424
3288
2360
2360
1432
-1816
-424
-1816
1432
3288
-1816
-3208
