R
992.0
1024.0
1024.0
1024.0
1024.0
1024.0
1056.0
1056.0
1056.0
1056.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1088.0
1056.0
1056.0
1056.0
1024.0
1024.0
1024.0
1024.0
992.0
992.0
992.0
960.0
960.0
960.0
928.0
928.0
928.0
896.0
896.0
896.0
864.0
864.0
864.0
832.0
832.0
832.0
800.0
800.0
800.0
800.0
800.0
800.0
800.0
800.0
832.0
832.0
864.0
864.0
832.0
800.0
768.0
736.0
704.0
672.0
640.0
608.0
576.0
544.0
512.0
480.0
448.0
416.0
384.0
352.0
320.0
288.0
256.0
224.0
192.0
160.0
128.0
96.0
64.0
32.0

