vehicleSpeed
0.0
0.0
0.0
255.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
3.0
3.0
2.0
3.0
1.0
1.0
1.0
1.0
5.0
10.0
13.0
14.0
15.0
13.0
12.0
12.0
15.0
17.0
20.0
22.0
26.0
26.0
25.0
26.0
26.0
23.0
16.0
3.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
7.0
15.0
15.0
17.0
21.0
26.0
28.0
28.0
32.0
41.0
42.0
43.0
45.0
47.0
49.0
50.0
52.0
53.0
54.0
55.0
56.0
55.0
55.0
55.0
55.0
55.0
55.0
55.0
55.0
56.0
56.0
56.0
56.0
57.0
58.0
58.0
57.0
55.0
55.0
55.0
55.0
54.0
54.0
55.0
55.0
55.0
54.0
53.0
52.0
52.0
51.0
51.0
51.0
51.0
51.0
48.0
46.0
46.0
36.0
24.0
